Pre Escola(publico),Fundamental e Medio (publico),Graduacao e Pos (publico),Pre Escola (particular),Fundamental e Medio (particular),Graduacao e Pos (particular),Medio comp e Sup incomp (+25),Superior completo (+25)
1235.64158,3877.554317,126.5467097,326.0193774,847.7621583,1473.46516,5721.942771,3711.924973
180.9611052,760.2011648,26.64169318,0.0,21.36394112,77.06222155,316.9818573,158.5740694
1506.88648,5181.222547,192.3026694,149.5634334,474.0839708,495.4786348,3274.087076,1465.676886
308.2564496,914.1258845,26.19462982,44.50199971,106.2473565,132.6104566,1093.729259,662.693965
768.6274396,2370.37921,73.94020999,75.80359296,309.8474935,316.9427375,2083.170875,1198.779729
341.4647532,976.7731895,13.3640125,7.83936421,58.12353776,122.9512934,719.566196,433.6929325
94.18414774,374.1854118,22.37729677,12.58614007,67.60682892,108.6959288,596.51783,580.2563465
1788.817087,6274.956277,179.7898243,154.1979826,913.7976673,804.566567,5084.858157,1667.312277
225.8598059,933.9874462,23.3327141,7.91475526,27.12066307,50.52737885,452.786124,122.9929444
142.172088,542.8717522,39.73067408,0.0,37.15750858,78.85552433,629.9189558,181.5532729
266.9986108,553.0716223,18.05223507,5.65449641,10.45924807,75.69189689,343.8853008,115.196868
559.46773,3349.478311,249.7946612,79.08065151,292.7845026,227.7725567,1629.406224,1061.086759
138.4247523,523.8233024,11.50888192,5.05079772,41.98441656,70.86289164,453.0157418,146.7157664
1058.453693,3139.448834,88.02810038,30.49350216,396.7539124,543.3311351,3737.908875,579.3025735
129.6663633,505.9386776,8.69563399,3.35053249,33.50973831,49.65114562,509.1648258,191.3599788
965.1142094,3672.312212,202.8693589,127.0274472,681.8243187,564.8044303,3295.241858,1308.593081
132.9074299,901.0281732,9.22066893,0.0,12.78578258,34.63596458,437.0100261,86.33542499
153.1631549,614.9175324,72.42484051,0.0,0.0,78.39169513,372.8325894,116.6732901
8083.311865,27874.01087,2642.604183,2211.735873,7075.865986,9284.365333,39188.29904,21282.22824
1922.122463,6652.784176,112.2020553,48.32061078,361.1169771,457.4748407,5048.643012,840.1475648
172.175539,969.6396576,26.12157357,0.0,22.01728338,140.464678,683.1138479,281.0481268
2688.34867,8284.584613,486.8840803,391.7109502,2062.046016,1846.427677,11321.7644,5648.658393
192.6176337,795.1563769,23.117046,3.59729949,12.01224788,119.6437888,642.346694,275.1448245
2220.367074,8192.627769,691.8873167,439.1452652,1429.269227,1818.745379,8675.286243,4422.750854
1163.991554,4989.526868,298.507098,43.73150699,150.9647315,338.4879151,2182.11671,1115.658833
370.5945566,1139.659271,8.47025306,0.0,23.23357946,83.22632062,572.1277995,223.3462936
293.6157394,621.4993623,20.72162038,1.95589625,32.04973733,54.12148754,494.9257984,163.3868822
1462.554161,6776.937061,273.2512975,217.9001062,819.3905436,727.0457911,6216.700374,2780.681258
146.8965908,645.6071165,34.23568382,4.59686639,69.32049077,139.2304734,479.3638442,225.8323066
1138.041357,5465.662481,160.8540285,35.02292649,253.6415714,294.8717323,3041.451319,906.0225342
834.8963221,3621.745911,69.4463506,49.56145688,118.2745442,411.019506,1759.552649,689.1149318
6706.450488,25326.12307,2278.85862,2160.949753,7147.667006,6148.187308,31572.89426,19064.99952
1130.344485,5380.320673,139.8338331,170.5452305,434.1277304,857.7862917,4046.031336,1717.436477
282.8863367,746.2775307,15.81250935,13.52124529,13.16375469,98.56311444,683.0383879,264.0876862
400.5805548,1028.140402,2.6583708,2.05064123,40.28137626,44.11237165,720.3315677,156.8118236
88.33990382,489.6690462,6.13675965,2.03394616,0.0,30.90075181,335.4171852,59.13566195
8563.634727,27040.28423,3682.862574,1875.029596,7167.794869,7504.018621,41996.34468,23871.98788
