Fundamental e Medio (particular),Fundamental e Medio (publico),Graduacao e Pos (particular),Graduacao e Pos (publico),Medio comp e Sup incomp (+25),Pre Escola (particular),Pre Escola(publico),Superior completo (+25)
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,81,30,90,55,1,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,81,30,90,55,1,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,81,30,90,55,1,100
60,10,80,30,90,53,1,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,52,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,52,0,100
60,10,80,30,90,54,1,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,52,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,81,30,90,54,1,100
60,10,80,30,90,50,0,100
60,10,81,30,90,55,2,100
60,10,80,30,90,50,0,100
60,10,80,30,90,51,0,100
60,10,81,30,90,55,10,100
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,52,1,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,55,1,100
60,10,80,30,90,53,1,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,53,0,100
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,53,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,51,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,81,30,90,55,9,100
60,10,80,30,90,52,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,50,0,100
60,10,80,30,90,51,0,100
