a,b,c,d,e,f
6,14,104,1001,10000,200
6,13,103,1001,10000,201
6,13,103,1001,10000,200
6,13,103,1002,10000,202
6,14,104,1001,10000,200
6,14,104,1002,10000,200
6,13,103,1001,10000,200
6,13,103,1002,10000,200
5,13,103,1001,10000,200
6,13,103,1002,10000,201
6,14,104,1002,10000,200
6,13,103,1002,10000,200
6,13,103,1001,10000,200
5,13,103,1001,10000,200
7,14,104,1001,10000,201
7,14,104,1002,10000,201
6,14,104,1001,10000,200
6,14,104,1001,10000,200
7,14,104,1002,10000,201
6,14,104,1002,10000,200
6,13,103,1002,10000,200
6,14,104,1002,10000,200
6,14,104,1001,10000,200
6,13,103,1002,10000,200
6,13,103,1002,10000,200
6,13,103,1002,10000,200
6,13,103,1002,10000,200
6,14,104,1002,10000,200
6,13,103,1001,10000,200
6,13,103,1002,10000,200
6,13,103,1002,10000,200
6,13,103,1002,10000,200
8,13,103,1005,10001,202
7,13,103,1005,10001,201
8,13,103,1005,10001,202
7,12,102,1004,10001,201
8,13,103,1005,10001,202
7,13,103,1005,10001,201
7,13,103,1005,10001,201
6,12,102,1003,10000,200
8,13,103,1005,10001,202
6,13,103,1004,10000,200
6,12,102,1004,10000,200
7,13,103,1004,10001,200
7,12,102,1004,10001,200
7,13,103,1005,10001,200
7,13,103,1004,10000,200
8,13,103,1004,10001,200
7,13,103,1005,10001,200
7,13,103,1004,10001,200
7,12,102,1005,10001,200
7,13,103,1004,10000,200
7,13,103,1005,10001,200
7,13,103,1004,10001,200
7,13,103,1005,10001,200
7,13,103,1005,10001,200
7,13,103,1004,10001,200
8,13,103,1004,10001,200
8,13,103,1005,10001,200
8,13,103,1005,10001,200
7,13,103,1005,10001,200
7,13,103,1004,10000,200
7,12,102,1004,10000,200
7,12,102,1004,10000,200
7,13,103,1004,10000,200
7,13,103,1005,10001,200
7,13,103,1006,10001,200
7,13,103,1005,10001,200
8,13,103,1006,10001,200
7,13,103,1006,10001,200
8,13,103,1006,10001,200
9,13,103,1007,10001,200
6,13,103,1005,10001,200
8,13,103,1006,10001,200
8,13,103,1006,10001,200
8,14,104,1006,10001,200
8,13,103,1005,10001,200
7,13,103,1005,10001,200
8,13,103,1006,10001,200
7,13,103,1005,10001,200
7,13,103,1005,10001,200
7,13,103,1005,10001,200
8,13,103,1006,10001,200
9,14,104,1007,10001,200
9,13,103,1007,10001,200
7,12,102,1005,10001,200
8,13,103,1006,10001,200
7,13,103,1005,10001,200
9,13,103,1007,10001,200
7,13,103,1005,10001,200
8,13,103,1006,10001,200
8,13,103,1006,10001,200
7,13,103,1005,10001,200
7,13,103,1005,10001,200
7,13,103,1006,10001,200
8,13,103,1006,10001,200
8,13,103,1006,10001,200
9,14,104,1006,10001,200
7,13,103,1006,10001,200
7,13,103,1005,10001,200
